週識別子,バッチ,投稿番号,媒体,投稿日,投稿時刻,曜日,ステップ,本文ファイルURL,素材フォルダURL,予約ツールURL,特記事項
2026-W28,カルーセル,9,Instagram,2026/7/20,6:00 JST,月,69_オーガニックで生物多様性の保全,https://drive.google.com/drive/folders/1siMO6As6WWkmdbLVxcjJLJaA71X5CeTM,https://drive.google.com/drive/folders/1nmox_E8xl85qJ2XZ9IUjKljY-9TbOcFv,https://business.facebook.com/latest/posts/scheduled_posts,FINAL/の画像を順番にアップ→最終ページに共通CTA→共通キャプション貼付
2026-W28,カルーセル,10,Instagram,2026/7/21,6:00 JST,火,70_家族から理解を得るには,https://drive.google.com/drive/folders/1zsfApKZ8N9e77nj6y9DBbFkpFl6MvcTo,https://drive.google.com/drive/folders/1nmox_E8xl85qJ2XZ9IUjKljY-9TbOcFv,https://business.facebook.com/latest/posts/scheduled_posts,FINAL/の画像を順番にアップ→最終ページに共通CTA→共通キャプション貼付
2026-W28,カルーセル,11,Instagram,2026/7/22,6:00 JST,水,71_有機食品7割は認証未取得,https://drive.google.com/drive/folders/1-iI3Sy5zBRH3_I6daVYk-SytGSAUpDLE,https://drive.google.com/drive/folders/1nmox_E8xl85qJ2XZ9IUjKljY-9TbOcFv,https://business.facebook.com/latest/posts/scheduled_posts,FINAL/の画像を順番にアップ→最終ページに共通CTA→共通キャプション貼付
2026-W28,カルーセル,12,Instagram,2026/7/23,6:00 JST,木,72_塩のマクロプラスチック汚染,https://drive.google.com/drive/folders/1j_N1_f3_XGHD9XiVCurrlB0vckUp7Xty,https://drive.google.com/drive/folders/1nmox_E8xl85qJ2XZ9IUjKljY-9TbOcFv,https://business.facebook.com/latest/posts/scheduled_posts,FINAL/の画像を順番にアップ→最終ページに共通CTA→共通キャプション貼付
2026-W28,カルーセル,13,Instagram,2026/7/24,6:00 JST,金,73_仕事の成果,https://drive.google.com/drive/folders/1kouZ-ei8RqRgL5s8IfvguzJ6HdruylnC,https://drive.google.com/drive/folders/1nmox_E8xl85qJ2XZ9IUjKljY-9TbOcFv,https://business.facebook.com/latest/posts/scheduled_posts,FINAL/の画像を順番にアップ→最終ページに共通CTA→共通キャプション貼付
2026-W28,カルーセル,14,Instagram,2026/7/27,6:00 JST,月,74_専門家おすすめ,https://drive.google.com/drive/folders/104636ozOQTRDMY-lVLjNL5T7m3Jgh8j4,https://drive.google.com/drive/folders/1nmox_E8xl85qJ2XZ9IUjKljY-9TbOcFv,https://business.facebook.com/latest/posts/scheduled_posts,FINAL/の画像を順番にアップ→最終ページに共通CTA→共通キャプション貼付
2026-W21,火曜,1,サイト運用,2026/5/19,10:00,火,デプロイ,https://drive.google.com/file/d/1Xxq9yPfAsksYa3jfGP0KF4IBzys1TaWm/view?usp=drivesdk,https://drive.google.com/drive/folders/13OsblJj_8xfMNcDRe1QMVTsJ-F0zTrRu,,📌 公式サイト全面リニューアル版のアップロード作業。ざっくり「お店のリフォーム」＝iob.bioの中身（HTML5枚＋画像32枚）を新版に差し替えるだけです。所要60〜90分。👉まず📘手順書の「0. はじめに」を読めば全体像が掴めるようにしました（ConoHaって何？サーバって何？も解説済）。全体5ステップ：①ConoHaログイン ②現行サイトをまるごとバックアップ（★最重要・終わるまで先に進まない） ③旧ファイル3つをリネーム ④新ファイル5枚+画像32枚アップ ⑤PC/スマホで動作確認→完了報告。⚠️削除ボタンは絶対押さない（リネームだけ）／少しでも不安になったら手を止めてLINE／急ぎではないのでゆっくりでOK。📁配布物ボタンからZIPダウンロード可
2026-W23,火曜,1,Flodesk,2026/6/3,8:00 JST,水,Day 34,https://drive.google.com/file/d/1H6ZAD906p6UJ5Z3DA3RWI9HOF1MrOdOG/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり（4-2 有機JAS規格対象と対象外）
2026-W23,火曜,2,Flodesk,2026/6/4,8:00 JST,木,Day 35,https://drive.google.com/file/d/1oQRdYSHS47RTBgEArPslk3OUc8P3SCNC/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり（ドイツ視点・オーガニック棚の進化）
2026-W23,火曜,3,Flodesk,2026/6/5,8:00 JST,金,Day 36,https://drive.google.com/file/d/1pGME9vlJ2fye7Y81R2nva_MCXD_LEg-s/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり（4-3 民間規格）
